# "doi prefix" "# non-data doi" "# data doi"
10.1639 80 0
10.3844 79 0
10.6026 78 0
10.3340 77 0
10.2224 77 0
10.5402 76 0
10.4315 76 0
10.3736 76 0
10.3417 75 0
10.2463 75 0
10.2331 75 0
10.5465 72 0
10.3904 72 0
10.1672 72 0
10.1332 72 0
10.3406 71 0
10.2138 71 0
10.1267 71 0
10.1900 69 0
10.5012 68 0
10.4037 67 0
10.3724 67 0
10.1787 67 0
10.3989 66 0
10.3129 66 0
10.1598 66 0
10.3148 65 0
10.1638 65 0
10.1580 65 0
10.2752 64 0
10.1122 64 0
10.4321 63 0
10.4081 63 0
10.4076 63 0
10.3357 62 0
10.1626 62 0
10.5732 61 0
10.3853 61 0
10.2350 61 0
10.2980 60 0
10.3855 59 0
10.2754 59 0
10.2319 59 0
10.1674 59 0
10.1624 59 0
10.1265 59 0
10.3886 58 0
10.1673 58 0
10.4142 57 0
10.3378 57 0
10.2747 57 0
10.1676 57 0
10.5580 56 0
10.5001 56 0
10.3136 56 0
10.1180 56 0
10.5670 55 0
10.5365 54 0
10.2503 54 0
10.2203 54 0
10.5650 53 0
10.3414 53 0
10.3238 53 0
10.1540 53 0
10.1511 53 0
10.1065 53 0
10.1135 52 0
10.3934 51 0
10.3797 51 0
10.2225 51 0
10.1357 51 0
10.1239 51 0
10.1147 51 0
10.5858 50 0
10.3961 50 0
10.3149 50 0
10.1621 50 0
10.1205 50 0
10.5009 49 0
10.1563 49 0
10.1256 49 0
10.5455 48 0
10.2983 48 0
10.2175 48 0
10.1559 48 0
10.4202 47 0
10.3917 47 0
10.5694 45 0
10.4187 45 0
10.4162 45 0
10.4168 44 0
10.3350 44 0
10.3343 44 0
10.2993 44 0
10.1889 44 0
10.1383 44 0
10.1059 44 0
10.3896 43 0
10.1584 43 0
10.1299 43 0
10.4306 42 0
10.1295 42 0
10.3317 41 0
10.3155 41 0
10.2533 41 0
10.2173 41 0
10.4012 40 0
10.3988 40 0
10.1346 40 0
10.1252 40 0
10.7314 39 0
10.3189 39 0
10.4070 38 0
10.3341 38 0
10.3329 38 0
10.2981 38 0
10.2753 38 0
10.1260 38 0
10.4314 37 0
10.4254 37 0
10.4093 37 0
10.2306 37 0
10.1675 37 0
10.4111 36 0
10.3157 36 0
10.3115 36 0
10.1578 36 0
10.1508 36 0
10.5888 35 0
10.4137 35 0
10.2320 35 0
10.2149 35 0
10.1190 34 0
10.1043 34 0
10.5772 33 0
10.5034 33 0
10.4084 33 0
10.3824 33 0
10.3802 33 0
10.3146 33 0
10.1659 33 0
10.137 33 0
10.4251 32 0
10.4055 32 0
10.3960 32 0
10.3314 32 0
10.2485 32 0
10.2317 32 0
10.2139 32 0
10.3938 31 0
10.3763 31 0
10.3143 31 0
10.1656 31 0
10.1250 31 0
10.7189 30 0
10.4110 30 0
10.2992 30 0
10.1665 30 0
